id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
65,1259,587,398,84,52,661.5,433.5,0.9350873827934265,0.9765074253082275,0,0,672,544
66,364,361,258,20,23,367.5,263.5,0.934220016002655,0.9678283929824829,0,0,672,544
67,310,0,74,20,21,10.5,93.5,0.9309738278388977,0.962382435798645,0,0,672,544
68,199,356,211,13,18,367.5,212.5,0.9305406212806702,0.9801980257034302,0,0,672,544
69,115,175,227,10,11,178.5,229.5,0.9286585450172424,0.991304337978363,0,0,672,544
70,6490,299,16,372,53,409.5,42.5,0.9275161027908325,0.962498128414154,0,0,672,544
71,1280,515,137,156,69,577.5,178.5,0.9268187284469604,0.9586523771286011,0,0,672,544
72,823,463,125,144,30,598.5,144.5,0.9268134832382202,0.9595719575881958,0,0,672,544
73,683,515,166,98,40,577.5,178.5,0.9261208772659302,0.9640287756919861,0,0,672,544
74,92,366,225,9,11,367.5,229.5,0.9251892566680908,1.0,0,0,672,544
75,239,115,186,38,11,136.5,195.5,0.9229570031166077,0.9672130942344666,0,0,672,544
76,76,449,169,9,8,451.5,178.5,0.9208253026008606,0.9740259647369385,0,0,672,544
77,3821,375,11,91,144,388.5,127.5,0.9190479516983032,0.9280484914779663,0,0,672,544
78,601,496,284,57,13,535.5,297.5,0.9172508716583252,0.9577235579490662,0,0,672,544
79,151,434,323,30,11,451.5,331.5,0.9167177081108093,0.9802631735801697,0,0,672,544
80,23,659,226,4,5,661.5,229.5,0.9159173369407654,1.0,0,0,672,544
81,157,621,278,24,7,640.5,280.5,0.9133052825927734,0.9936708807945251,0,0,672,544
82,1093,258,340,29,52,283.5,348.5,0.9128453135490417,0.9516562223434448,0,0,672,544
83,1917,3,57,153,29,94.5,76.5,0.9118546843528748,0.9120393395423889,0,0,672,544
84,2156,201,215,112,46,262.5,246.5,0.9103010296821594,0.9426895380020142,0,0,672,544
85,121,0,224,14,10,10.5,229.5,0.9087874293327332,0.9523809552192688,0,0,672,544
86,204,169,144,30,7,178.5,144.5,0.9078919887542725,0.9854369163513184,0,0,672,544
87,651,323,167,65,20,325.5,178.5,0.9075495600700378,0.9607843160629272,0,0,672,544
88,389,206,171,48,11,241.5,178.5,0.9069722294807434,0.9670050740242004,0,0,672,544
89,82,302,265,4,20,304.5,280.5,0.9029078483581543,0.9638554453849792,0,0,672,544
90,211,656,248,15,20,661.5,263.5,0.900122344493866,0.9585253596305847,0,0,672,544
91,219,135,279,8,40,136.5,314.5,0.8930677175521851,0.943231463432312,0,0,672,544
92,89,505,312,32,6,514.5,314.5,0.8911362886428833,0.9888888597488403,0,0,672,544
93,944,458,3,42,28,472.5,8.5,0.8904192447662354,0.9348931908607483,0,0,672,544
94,107,99,325,23,8,115.5,331.5,0.8881635069847107,0.9537037014961243,0,0,672,544
95,178,367,271,21,15,367.5,280.5,0.8873227834701538,0.9943820238113403,0,0,672,544
96,642,474,59,79,9,514.5,59.5,0.8865930438041687,0.9481707215309143,0,0,672,544
97,398,463,284,32,13,472.5,297.5,0.8862114548683167,0.9460784196853638,0,0,672,544
98,1144,394,184,83,43,451.5,195.5,0.8850172162055969,0.9201680421829224,0,0,672,544
99,637,83,3,89,90,94.5,8.5,0.883355438709259,0.9510703086853027,0,0,672,544
100,297,242,172,78,6,262.5,178.5,0.8827373385429382,0.9111111164093018,0,0,672,544
101,489,404,255,55,14,409.5,263.5,0.8817388415336609,0.9306930899620056,0,0,672,544
102,433,443,3,14,56,451.5,25.5,0.880914032459259,0.9415730237960815,0,0,672,544
103,74,650,163,14,6,661.5,161.5,0.8803154826164246,0.9733333587646484,0,0,672,544
104,441,328,262,32,19,346.5,263.5,0.8800932168960571,0.9427312612533569,0,0,672,544
