id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,18075,458,234,213,124,640.5,314.5,1.0320755243301392,0.9822202920913696,0,0,672,544
1,146958,0,283,671,257,556.5,348.5,1.0249402523040771,0.9828094840049744,0,0,672,544
2,8254,0,258,136,89,10.5,314.5,1.0086538791656494,0.9760450124740601,0,0,672,544
3,2142,285,4,61,39,304.5,25.5,1.004439115524292,0.9897864460945129,0,0,672,544
4,153751,0,0,671,313,598.5,127.5,1.0032474994659424,0.9280293583869934,0,0,672,544
5,731,366,478,20,62,367.5,501.5,0.9960677027702332,0.9945429563522339,0,0,672,544
6,13781,375,4,228,235,430.5,161.5,0.9916884899139404,0.9836596846580505,0,0,672,544
7,3402,0,183,113,47,52.5,229.5,0.9900721311569214,0.9810716509819031,0,0,672,544
8,1270,594,3,77,23,640.5,8.5,0.9894198775291443,0.9835680723190308,0,0,672,544
9,1239,69,264,70,32,115.5,280.5,0.9888725280761719,0.980861246585846,0,0,672,544
10,4569,460,185,56,94,493.5,263.5,0.9873571395874023,0.9802859425544739,0,0,672,544
11,1657,0,102,84,26,52.5,110.5,0.9867017269134521,0.9880167841911316,0,0,672,544
12,1586,0,261,84,24,73.5,280.5,0.986318051815033,0.9930904507637024,0,0,672,544
13,927,612,403,59,29,661.5,416.5,0.9861481189727783,0.9839228391647339,0,0,672,544
14,1825,402,264,60,42,409.5,280.5,0.984694242477417,0.9644013047218323,0,0,672,544
15,1039,305,81,41,27,325.5,93.5,0.9839329719543457,0.9885386824607849,0,0,672,544
16,611,463,222,14,45,472.5,229.5,0.9837960004806519,0.9869918823242188,0,0,672,544
17,25048,100,4,234,236,283.5,76.5,0.9829806089401245,0.9377602934837341,0,0,672,544
18,511,0,224,16,34,10.5,246.5,0.9807435274124146,0.9767891764640808,0,0,672,544
19,234,169,241,16,14,178.5,246.5,0.9783884882926941,0.991525411605835,0,0,672,544
20,4717,140,205,48,109,178.5,246.5,0.9745696783065796,0.9513054490089417,0,0,672,544
21,133,362,63,10,13,367.5,76.5,0.9738805890083313,0.9851852059364319,0,0,672,544
22,759,61,478,325,62,367.5,501.5,0.9738105535507202,0.9855832457542419,0,0,672,544
23,1564,36,295,91,25,52.5,314.5,0.9722491502761841,0.9785759449005127,0,0,672,544
24,3188,562,301,69,57,598.5,314.5,0.9700174331665039,0.9633620977401733,0,0,672,544
25,3480,495,355,176,95,577.5,399.5,0.9697117805480957,0.9741770625114441,0,0,672,544
26,1433,391,3,108,33,430.5,25.5,0.9695228338241577,0.9563735723495483,0,0,672,544
27,24657,386,295,285,242,493.5,382.5,0.9693925380706787,0.9372260570526123,0,0,672,544
28,340,80,312,36,14,115.5,314.5,0.9675055742263794,0.9854651093482971,0,0,672,544
29,521,394,133,36,52,409.5,161.5,0.9658749103546143,0.9827916026115417,0,0,672,544
30,5685,189,219,112,88,199.5,229.5,0.9642466902732849,0.9656481742858887,0,0,672,544
31,590,302,68,45,16,304.5,76.5,0.9618046283721924,0.9748743772506714,0,0,672,544
32,916,297,393,39,31,304.5,399.5,0.9609622359275818,0.9805615544319153,0,0,672,544
33,632,285,206,47,17,304.5,212.5,0.9603514075279236,0.9300912022590637,0,0,672,544
34,6323,345,4,48,225,367.5,42.5,0.9580411911010742,0.9704234004020691,0,0,672,544
35,440,413,286,38,20,451.5,297.5,0.9567779302597046,0.9285714030265808,0,0,672,544
36,294,0,317,26,19,10.5,331.5,0.9562798738479614,0.9799330830574036,0,0,672,544
37,1550,0,283,125,15,52.5,297.5,0.9550209045410156,0.9707750678062439,0,0,672,544
38,95,359,90,9,10,367.5,93.5,0.9522382020950317,0.9791666865348816,0,0,672,544
39,976,174,83,123,18,178.5,93.5,0.9496518969535828,0.9646464586257935,0,0,672,544
40,1261,299,41,48,29,346.5,59.5,0.9495798945426941,0.9819040298461914,0,0,672,544
41,645,431,3,25,76,451.5,25.5,0.9484958648681641,0.9725190997123718,0,0,672,544
42,535,181,150,52,13,199.5,161.5,0.9484003782272339,0.9758812785148621,0,0,672,544
43,212,50,19,5,44,52.5,59.5,0.9479156136512756,0.9905660152435303,0,0,672,544
44,541,609,137,62,27,619.5,161.5,0.9475660920143127,0.9690346121788025,0,0,672,544
45,168,73,189,12,13,73.5,195.5,0.947288453578949,0.9940828680992126,0,0,672,544
46,636,0,131,48,26,10.5,144.5,0.947101354598999,0.97364342212677,0,0,672,544
47,87,471,106,13,9,472.5,110.5,0.9457167387008667,0.9772727489471436,0,0,672,544
48,1258,72,208,67,100,136.5,297.5,0.9448704719543457,0.9337952136993408,0,0,672,544
49,504,171,203,65,10,199.5,212.5,0.9444490671157837,0.9802371263504028,0,0,672,544
50,239,269,193,56,5,304.5,195.5,0.9435549974441528,0.9793388247489929,0,0,672,544
51,418,318,144,28,15,346.5,144.5,0.9416840076446533,0.9647058844566345,0,0,672,544
52,320,0,297,44,8,10.5,297.5,0.9406076073646545,0.9784615635871887,0,0,672,544
53,311,27,228,28,16,31.5,229.5,0.940446674823761,0.961904764175415,0,0,672,544
54,2775,532,236,139,30,535.5,263.5,0.9404385089874268,0.9510907530784607,0,0,672,544
55,1439,517,185,154,49,661.5,195.5,0.9402152299880981,0.9455279111862183,0,0,672,544
56,1190,310,107,36,37,325.5,110.5,0.9393730759620667,0.9655455350875854,0,0,672,544
57,338,360,196,24,13,367.5,195.5,0.9389681220054626,0.976401150226593,0,0,672,544
58,14833,15,204,286,111,73.5,246.5,0.9386018514633179,0.9295139908790588,0,0,672,544
59,3128,567,14,104,46,577.5,42.5,0.9383534789085388,0.9765896797180176,0,0,672,544
60,71,173,293,11,6,178.5,297.5,0.9374676942825317,0.9722222089767456,0,0,672,544
61,474,389,242,14,33,388.5,263.5,0.9374134540557861,0.9810924530029297,0,0,672,544
62,1837,0,153,128,23,115.5,161.5,0.9356399178504944,0.9501854777336121,0,0,672,544
63,1137,0,321,179,53,31.5,365.5,0.9354434013366699,0.9610052108764648,0,0,672,544
64,367,367,160,25,18,388.5,161.5,0.9353309869766235,0.9493333101272583,0,0,672,544
