id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
97,153,367,273,17,13,367.5,280.5,0.9021462202072144,0.9620253443717957,0,0,672,544
98,2327,392,3,109,56,409.5,8.5,0.9013187885284424,0.9280131459236145,0,0,672,544
99,1237,258,338,29,55,262.5,348.5,0.9005476832389832,0.929017186164856,0,0,672,544
100,103,469,3,5,29,472.5,8.5,0.8989546298980713,0.961904764175415,0,0,672,544
101,1712,379,295,249,153,472.5,348.5,0.8981292247772217,0.9391353726387024,0,0,672,544
102,1280,126,187,109,26,199.5,195.5,0.8977747559547424,0.9041604995727539,0,0,672,544
103,225,135,279,8,40,136.5,314.5,0.896659255027771,0.9610389471054077,0,0,672,544
104,111,98,325,23,7,115.5,331.5,0.8960008025169373,0.9909909963607788,0,0,672,544
105,1090,379,100,65,55,430.5,110.5,0.8886127471923828,0.9049695134162903,0,0,672,544
106,310,251,172,69,6,262.5,178.5,0.888225257396698,0.9402515888214111,0,0,672,544
107,5400,474,4,131,58,577.5,8.5,0.8877367377281189,0.9788913130760193,0,0,672,544
108,638,84,3,90,90,94.5,8.5,0.8854573965072632,0.9438543319702148,0,0,672,544
