id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,18011,458,233,213,124,640.5,314.5,1.0315637588500977,0.9834692478179932,0,0,672,544
1,147018,0,283,671,257,640.5,348.5,1.0181922912597656,0.9821027517318726,0,0,672,544
2,7974,0,258,135,84,10.5,314.5,1.0115275382995605,0.9774389266967773,0,0,672,544
3,2132,285,4,61,40,325.5,25.5,1.004580020904541,0.9874243140220642,0,0,672,544
4,4649,460,187,56,92,493.5,263.5,1.0035369396209717,0.9865384697914124,0,0,672,544
5,1222,69,264,70,31,136.5,263.5,1.002722144126892,0.9765751361846924,0,0,672,544
6,734,366,478,20,62,367.5,501.5,0.9993983507156372,0.9904761910438538,0,0,672,544
7,151797,0,0,671,313,94.5,8.5,0.9982248544692993,0.9216433167457581,0,0,672,544
8,1259,596,3,75,23,661.5,8.5,0.9950286746025085,0.9795597195625305,0,0,672,544
9,3385,0,183,113,47,52.5,229.5,0.9948438405990601,0.9812646508216858,0,0,672,544
10,13788,375,4,228,235,430.5,161.5,0.9911203384399414,0.9850284457206726,0,0,672,544
11,1034,305,81,41,27,325.5,93.5,0.9886564016342163,0.9856184124946594,0,0,672,544
12,1594,0,261,84,24,73.5,280.5,0.986934244632721,0.9869158864021301,0,0,672,544
13,612,463,222,14,45,472.5,246.5,0.9849811792373657,0.9870129823684692,0,0,672,544
14,250,662,504,9,35,661.5,518.5,0.9838116765022278,0.9919999837875366,0,0,672,544
15,928,612,403,59,29,661.5,416.5,0.9832732081413269,0.983940064907074,0,0,672,544
16,233,169,241,16,14,178.5,246.5,0.9808984994888306,0.995726466178894,0,0,672,544
17,1668,0,102,83,27,52.5,110.5,0.9758800268173218,0.9898507595062256,0,0,672,544
18,1809,402,264,60,42,409.5,280.5,0.9755567908287048,0.9637249708175659,0,0,672,544
19,3481,495,355,176,95,577.5,399.5,0.9753971099853516,0.9753750562667847,0,0,672,544
